artist,title,end_date,estimate_USD,price_USD,auction_site,year,artwork_type,edition,height_cm,width_cm,start_date,low_estimate,high_estimate,price,currency,low_estimate_USD,high_estimate_USD,estimateCurrency,type
Pablo Picasso,"Célestine et fille, avec deux hommes en costume du XVIIe Siècle (Célestine and Daughter, with Two Men in 17th Century Costume), plate 132 from Séries 156 (Bl. 1987, Ba. 1997)",2022-01-20T17:00:00,,4458.17,Phillips,1971.0,Etching,,36.7,49.3,2022-01-19T18:00:00,2000.0,3000.0,3276.0,£,2721.72,4082.58,,Print
Pablo Picasso,"Peintre au sabot et au chausson avec sa toile (The Painter Wearing a Clog and a Slipper, with His Canvas), plate 150 from Séries 156 (Bl. 2004, Ba. 2014)",2022-01-20T17:00:00,,3086.43,Phillips,1971.0,Aquatint,,22.7,30.3,2022-01-19T18:00:00,2000.0,3000.0,2268.0,£,2721.72,4082.58,,Print
Pablo Picasso,"La Toilette de la mère (Mother's Grooming), from La Suite des Saltimbanques (Bl. 13, Ba. 15)",2021-10-21T21:00:00,,5040.0,Phillips,1905.0,Etching,250.0,23.8,17.8,2021-10-19T14:00:00,5000.0,7000.0,5040.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Jeune fille de profil couronnée de fleurs (Young Girl in Profile Crowned with Flowers), plate 6 from Six contes fantasques (Six Whimsical Tales) (Bl. 366, Ba. 696, see C. bks 66)",2021-10-21T21:00:00,,11340.0,Phillips,1944.0,Engraving,225.0,34.9,27.0,2021-10-19T14:00:00,8000.0,12000.0,11340.0,$,8000.0,12000.0,,Print
Pablo Picasso,"Odalisque au collier de chien (Odalisque with a Dog Collar), plate 39 from Séries 156 (Bl. 1894, Ba. 1900)",2022-01-20T17:00:00,,6001.39,Phillips,1970.0,Etching,,50.7,53.4,2022-01-19T18:00:00,1000.0,1500.0,4410.0,£,1360.86,2041.29,,Print
Pablo Picasso,"Homme arrêtant un cheval devant une femme (Man Stopping a Horse in Front of a Woman), plate 57 from 347 Series (Bl. 1537, Ba. 1553)",2021-10-21T21:00:00,,6930.0,Phillips,1968.0,Etching,,27.9,38.7,2021-10-19T14:00:00,4000.0,6000.0,6930.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Au théâtre: L'Astrologue (At the Theater: The Astrologer) (Bl. 1425, Ba. 1453)",2021-10-21T21:00:00,,3528.0,Phillips,1966.0,Etching,,22.2,29.5,2021-10-19T14:00:00,3000.0,5000.0,3528.0,$,3000.0,5000.0,,Print
Pablo Picasso,"Au théâtre: L'Astrologue (At the Theater: The Astrologer) (Bl. 1425, Ba. 1453)",2021-10-21T21:00:00,,3528.0,Phillips,1966.0,Etching,,22.2,29.5,2021-10-19T14:00:00,3000.0,5000.0,3528.0,$,3000.0,5000.0,,Print
Pablo Picasso,"Peintre et modèle (Painter and Model) (Bl. 1372, Ba. 1393)",2021-10-21T21:00:00,,5040.0,Phillips,1966.0,Etching,,39.4,55.9,2021-10-19T14:00:00,4000.0,6000.0,5040.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Peintre et modèle (Painter and Model) (Bl. 1372, Ba. 1393)",2021-10-21T21:00:00,,5040.0,Phillips,1966.0,Etching,,39.4,55.9,2021-10-19T14:00:00,4000.0,6000.0,5040.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Peintre et modèle (Painter and Model) (Bl. 1372, Ba. 1393)",2021-10-21T21:00:00,,5040.0,Phillips,1966.0,Etching,,39.4,55.9,2021-10-19T14:00:00,4000.0,6000.0,5040.0,$,4000.0,6000.0,,Print
Pablo Picasso,"VIIIe Pythique (Eighth Pythian Ode), by Pindare (Bl. 995-98, Ba. 1077-80, C. bks 108)",2021-10-21T21:00:00,,13860.0,Phillips,1960.0,drypoint,,50.5,33.0,2021-10-19T14:00:00,6000.0,9000.0,13860.0,$,6000.0,9000.0,,Print
Pablo Picasso,"VIIIe Pythique (Eighth Pythian Ode), by Pindare (Bl. 995-98, Ba. 1077-80, C. bks 108)",2021-10-21T21:00:00,,13860.0,Phillips,1960.0,drypoint,,50.5,33.0,2021-10-19T14:00:00,6000.0,9000.0,13860.0,$,6000.0,9000.0,,Print
Pablo Picasso,"Femme à sa toilette et homme au chapeau Rembranesque (Woman at Her Dressing Table and Man in a Rembrandtesque Hat), plate 258 from 347 Series (Bl. 1738, Ba. 1755)",2021-10-21T21:00:00,,6930.0,Phillips,1968.0,Etching,,21.0,15.2,2021-10-19T14:00:00,3500.0,4500.0,6930.0,$,3500.0,4500.0,,Print
Pablo Picasso,"Quatre femmes nues et tête sculptée (Four Nude Women and a Carved Head), plate 82 from La Suite Vollard (Bl. 219, Ba. 424)",2021-06-15T17:00:00,,24889.94,Phillips,1934.0,Etching,260.0,22.3,31.5,2021-06-14T17:00:00,15000.0,20000.0,17640.0,£,21164.92,28219.89,,Print
Pablo Picasso,"Exposition Vallauris (Vallauris Exhibition) (Bl. 1301, Ba. 1354, C. 53)",2021-06-15T17:00:00,,1777.85,Phillips,1964.0,Linocut,168.0,64.0,53.2,2021-06-14T17:00:00,1000.0,1500.0,1260.0,£,1410.99,2116.49,,Print
Pablo Picasso,"La Fête de la Patronne, ces Dames médisent de Degas, réduit à un Tiers de Profil (The Feast of the Patron Saint, these Ladies slander Degas, reduced to a Third Party in Profile), plate 127 from Séries 156 (Bl. 1982, Ba. 1992)",2021-06-15T17:00:00,,5689.13,Phillips,1971.0,Etching,,36.5,49.0,2021-06-14T17:00:00,2000.0,3000.0,4032.0,£,2821.99,4232.98,,Print
Pablo Picasso,"Femme aux trois Profils, en Chemise et en Bottines, et Femme nue songeant (Woman with Three Profiles, in a Shirt and Boots, and a Nude Woman Thinking), plate 142 from Séries 156 (Bl. 1996, Ba. 2006)",2021-06-15T17:00:00,,4977.99,Phillips,1971.0,Etching,,36.5,49.4,2021-06-14T17:00:00,2000.0,3000.0,3528.0,£,2821.99,4232.98,,Print
Pablo Picasso,"La Jeune artiste (The Young Artist) (Bl. 609, M. 150)",2021-06-15T17:00:00,,5333.56,Phillips,1949.0,Lithograph,,39.5,29.8,2021-06-14T17:00:00,3000.0,4000.0,3780.0,£,4232.98,5643.98,,Print
Pablo Picasso,"Sable mouvant (Quicksand) (Bl. 1183-1192, Ba. 1152-1161, C. 136)",2021-06-15T17:00:00,,10667.12,Phillips,1966.0,aquatint,255.0,38.1,27.9,2021-06-14T17:00:00,6000.0,8000.0,7560.0,£,8465.97,11287.96,,Print
Pablo Picasso,"Lysistrata (Bl. 267-272, Ba. 387-392, C. 24)",2021-06-15T17:00:00,,4266.85,Phillips,1934.0,etching,1500.0,24.0,2.0,2021-06-14T17:00:00,2500.0,3500.0,3024.0,£,3527.49,4938.48,,Print
Pablo Picasso,"Deux femmes (Two Women) (Bl. 1203, Ba. 1188)",2021-04-22T18:00:00,,3780.0,Phillips,1965.0,Drypoint,,29.2,41.3,2021-04-20T20:00:00,2500.0,3500.0,3780.0,$,2500.0,3500.0,,Print
Pablo Picasso,"Dans l'atelier (In The Workshop) (Bl. 1219, Ba. 1201)",2021-04-22T18:00:00,,8190.0,Phillips,1965.0,Aquatint,,32.1,47.0,2021-04-20T20:00:00,4000.0,6000.0,8190.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Raphaël et la Fornarina V: avec voyeur écartant le rideau (Raphael and Fornarina, With Voyeur Pulling Back the Curtain), pl. 300, from 347 Series (Bl. 1780, Ba. 1797)",2021-04-22T18:00:00,,5292.0,Phillips,1968.0,Etching,,41.3,49.5,2021-04-20T20:00:00,2500.0,3500.0,5292.0,$,2500.0,3500.0,,Print
Pablo Picasso,"Quatre femmes nues et tête sculptée (Four Nude Women and a Carved Head), plate 82 from La Suite Vollard (Bl. 219, Ba. 424)",2021-04-22T18:00:00,,32760.0,Phillips,1934.0,Etching,260.0,22.2,31.1,2021-04-20T20:00:00,20000.0,30000.0,32760.0,$,20000.0,30000.0,,Print
Pablo Picasso,"Vallauris. Peinture et Lumiere. Xᵉ Anniversaire (Vallauris. Painting and Light. 10th Anniversary) (Bl. 1850, Ba. 1353)",2021-04-22T18:00:00,,11970.0,Phillips,1964.0,Linocut,,63.8,53.3,2021-04-20T20:00:00,4000.0,6000.0,11970.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Le Bain, plate 12 from La Suite des Saltimbanques (The Bath, from The Acrobats Suite)",2020-12-11T19:00:00,,4410.0,Phillips,1905.0,Drypoint,250.0,34.0,28.6,2020-12-04T17:00:00,5000.0,8000.0,4410.0,$,5000.0,8000.0,,Print
Pablo Picasso,"Le Bain, plate 12 from La Suite des Saltimbanques (The Bath, from The Acrobats Suite)",2020-12-11T19:00:00,,4410.0,Phillips,1905.0,Drypoint,250.0,34.0,28.6,2020-12-04T17:00:00,5000.0,8000.0,4410.0,$,5000.0,8000.0,,Print
Pablo Picasso,Le Crapaud (The Toad),2020-10-22T21:00:00,,35280.0,Phillips,1949.0,Lithograph,50.0,49.8,65.4,2020-10-22T14:00:00,30000.0,50000.0,35280.0,$,30000.0,50000.0,,Print
Pablo Picasso,Le Crapaud (The Toad),2020-10-22T21:00:00,,35280.0,Phillips,1949.0,Lithograph,50.0,49.8,65.4,2020-10-22T14:00:00,30000.0,50000.0,35280.0,$,30000.0,50000.0,,Print
Pablo Picasso,Tête de homme à la pipe (Head of a Man with a Pipe),2020-10-22T21:00:00,,21420.0,Phillips,1912.0,Etching,100.0,13.0,10.8,2020-10-22T14:00:00,10000.0,15000.0,21420.0,$,10000.0,15000.0,,Print
